"Word","Freq","percent"
"gambl",1,0.22883295194508
"lust",3,0.68649885583524
"broken",3,0.68649885583524
"depress",2,0.45766590389016
"tri",1,0.22883295194508
"unhappi",1,0.22883295194508
"abstin",14,3.20366132723112
"destroy",5,1.1441647597254
"threaten",1,0.22883295194508
"nun",2,0.45766590389016
"nasti",5,1.1441647597254
"anyth",1,0.22883295194508
"ball",2,0.45766590389016
"degradationsham",1,0.22883295194508
"doe",1,0.22883295194508
"goodi",2,0.45766590389016
"low",4,0.91533180778032
"never",1,0.22883295194508
"puritysmart",1,0.22883295194508
"selfesteem",1,0.22883295194508
"shoe",1,0.22883295194508
"two",1,0.22883295194508
"chast",3,0.68649885583524
"proper",1,0.22883295194508
"care",2,0.45766590389016
"savior",1,0.22883295194508
"self",5,1.1441647597254
"spiritu",1,0.22883295194508
"tear",4,0.91533180778032
"teresa",1,0.22883295194508
"wear",1,0.22883295194508
"death",2,0.45766590389016
"graveyard",1,0.22883295194508
"grim",1,0.22883295194508
"reaper",1,0.22883295194508
"aton",1,0.22883295194508
"baptism",3,0.68649885583524
"drug",4,0.91533180778032
"water",16,3.66132723112128
"youth",6,1.37299771167048
"regret",1,0.22883295194508
"atheist",1,0.22883295194508
"women",11,2.51716247139588
"girl",2,0.45766590389016
"hate",2,0.45766590389016
"just",1,0.22883295194508
"lake",1,0.22883295194508
"inappropri",1,0.22883295194508
"slut",4,0.91533180778032
"sad",7,1.60183066361556
"kid",2,0.45766590389016
"break",4,0.91533180778032
"catabol",1,0.22883295194508
"save",2,0.45766590389016
"lie",3,0.68649885583524
"boy",1,0.22883295194508
"unworthi",2,0.45766590389016
"worthi",3,0.68649885583524
"disappoint",1,0.22883295194508
"soil",4,0.91533180778032
"stain",1,0.22883295194508
"loyal",2,0.45766590389016
"discrimin",4,0.91533180778032
"away",1,0.22883295194508
"bring",1,0.22883295194508
"someon",5,1.1441647597254
"take",1,0.22883295194508
"trustworthi",1,0.22883295194508
"fair",2,0.45766590389016
"oppress",3,0.68649885583524
"demean",4,0.91533180778032
"expos",1,0.22883295194508
"golden",1,0.22883295194508
"unjust",1,0.22883295194508
"destruct",2,0.45766590389016
"bestial",1,0.22883295194508
"pornographi",1,0.22883295194508
"jade",1,0.22883295194508
"sweet",2,0.45766590389016
"anew",1,0.22883295194508
"bless",1,0.22883295194508
"refin",1,0.22883295194508
"repent",1,0.22883295194508
"disrespect",8,1.83066361556064
"work",1,0.22883295194508
"hope",2,0.45766590389016
"obey",1,0.22883295194508
"immor",3,0.68649885583524
"crumbl",1,0.22883295194508
"abov",2,0.45766590389016
"crystal",1,0.22883295194508
"heart",2,0.45766590389016
"mental",1,0.22883295194508
"poverti",1,0.22883295194508
"opposit",1,0.22883295194508
"societ",1,0.22883295194508
"foul",1,0.22883295194508
"open",1,0.22883295194508
"unblemish",2,0.45766590389016
"freedom",5,1.1441647597254
"men",1,0.22883295194508
"rock",1,0.22883295194508
"slave",1,0.22883295194508
"woman",2,0.45766590389016
"learn",1,0.22883295194508
"slow",1,0.22883295194508
"advantag",1,0.22883295194508
"taken",1,0.22883295194508
"crush",1,0.22883295194508
"nobl",3,0.68649885583524
"radianc",1,0.22883295194508
"enough",1,0.22883295194508
"charact",1,0.22883295194508
"exposur",1,0.22883295194508
"wait",2,0.45766590389016
"impur",3,0.68649885583524
"attitud",2,0.45766590389016
"thought",1,0.22883295194508
"lace",1,0.22883295194508
"walk",1,0.22883295194508
"whore",2,0.45766590389016
"eye",1,0.22883295194508
"friend",3,0.68649885583524
"one",2,0.45766590389016
"parent",1,0.22883295194508
"purest",1,0.22883295194508
"suffer",1,0.22883295194508
"reduct",1,0.22883295194508
"substanc",1,0.22883295194508
"inner",1,0.22883295194508
"peac",2,0.45766590389016
"safe",3,0.68649885583524
"unsaf",1,0.22883295194508
"unsur",1,0.22883295194508
"incomplet",1,0.22883295194508
"old",4,0.91533180778032
"harmless",1,0.22883295194508
"mindless",1,0.22883295194508
"blood",3,0.68649885583524
"trust",2,0.45766590389016
"ignor",3,0.68649885583524
"inequ",1,0.22883295194508
"grade",1,0.22883295194508
"feel",2,0.45766590389016
"neat",1,0.22883295194508
"silli",1,0.22883295194508
"naiv",4,0.91533180778032
"glass",1,0.22883295194508
"graffiti",1,0.22883295194508
"motiv",1,0.22883295194508
"profan",1,0.22883295194508
"sky",1,0.22883295194508
"snow",1,0.22883295194508
"space",1,0.22883295194508
"chao",2,0.45766590389016
"demon",1,0.22883295194508
"hell",3,0.68649885583524
"compass",1,0.22883295194508
"smooth",2,0.45766590389016
"alcohol",2,0.45766590389016
"violenc",2,0.45766590389016
"condescend",1,0.22883295194508
"harri",1,0.22883295194508
"high",2,0.45766590389016
"loath",1,0.22883295194508
"mud",1,0.22883295194508
"potter",1,0.22883295194508
"action",2,0.45766590389016
"code",1,0.22883295194508
"deem",1,0.22883295194508
"defi",1,0.22883295194508
"els",1,0.22883295194508
"norm",1,0.22883295194508
"opinion",1,0.22883295194508
"set",1,0.22883295194508
"social",1,0.22883295194508
"pride",2,0.45766590389016
"less",2,0.45766590389016
"slander",2,0.45766590389016
"unstain",1,0.22883295194508
"unharm",1,0.22883295194508
"conscienc",1,0.22883295194508
"control",3,0.68649885583524
"influenc",2,0.45766590389016
"strength",2,0.45766590389016
"understand",1,0.22883295194508
"dark",2,0.45766590389016
"guilti",1,0.22883295194508
"rough",1,0.22883295194508
"baptiz",1,0.22883295194508
"like",1,0.22883295194508
"racism",5,1.1441647597254
"anger",1,0.22883295194508
"christ",1,0.22883295194508
"deserv",2,0.45766590389016
"joseph",1,0.22883295194508
"punish",1,0.22883295194508
"rage",1,0.22883295194508
"soul",3,0.68649885583524
"unnecessari",2,0.45766590389016
"unspoil",2,0.45766590389016
"wife",1,0.22883295194508
"wrath",1,0.22883295194508
"fun",1,0.22883295194508
"made",1,0.22883295194508
"gentl",1,0.22883295194508
"spoil",1,0.22883295194508
"arteri",1,0.22883295194508
"degener",2,0.45766590389016
"sacrific",1,0.22883295194508
"chanc",1,0.22883295194508
"chang",1,0.22883295194508
"choic",1,0.22883295194508
"mistak",1,0.22883295194508
"belief",3,0.68649885583524
"prefer",1,0.22883295194508
"strong",1,0.22883295194508
"strengthen",1,0.22883295194508
"belittl",5,1.1441647597254
"use",2,0.45766590389016
"cathol",3,0.68649885583524
"say",1,0.22883295194508
"selfdisrespect",1,0.22883295194508
"unholi",1,0.22883295194508
"valu",3,0.68649885583524
"deforest",1,0.22883295194508
"etc",1,0.22883295194508
"land",1,0.22883295194508
"pollut",3,0.68649885583524
"judg",1,0.22883295194508
"oil",2,0.45766590389016
"pervert",1,0.22883295194508
"judgment",5,1.1441647597254
"stereotyp",2,0.45766590389016
"inconsider",1,0.22883295194508
"fallen",1,0.22883295194508
"loser",1,0.22883295194508
"consensu",1,0.22883295194508
"forc",1,0.22883295194508
"violat",1,0.22883295194508
"equal",1,0.22883295194508
"perspect",1,0.22883295194508
"virtu",2,0.45766590389016
"abas",2,0.45766590389016
"deterior",2,0.45766590389016
"ignomini",1,0.22883295194508
"mix",1,0.22883295194508
"sinless",1,0.22883295194508
"taint",3,0.68649885583524
"uniti",1,0.22883295194508
"untaint",1,0.22883295194508
"follow",1,0.22883295194508
"resist",1,0.22883295194508
"conceit",1,0.22883295194508
"closemind",1,0.22883295194508
"incest",1,0.22883295194508
"pedophilia",1,0.22883295194508
"pope",1,0.22883295194508
"seven",1,0.22883295194508
"declin",2,0.45766590389016
"reduc",1,0.22883295194508
"concept",1,0.22883295194508
"miseri",2,0.45766590389016
"laugh",1,0.22883295194508
"antonym",1,0.22883295194508
"sexist",1,0.22883295194508
"movi",1,0.22883295194508
"nuditi",1,0.22883295194508
"racist",1,0.22883295194508
"fli",1,0.22883295194508
"lord",1,0.22883295194508
"decis",1,0.22883295194508
"rumor",2,0.45766590389016
"fake",1,0.22883295194508
"undeserv",1,0.22883295194508
"ungrat",1,0.22883295194508
"famili",2,0.45766590389016
"human",1,0.22883295194508
"peopl",4,0.91533180778032
"scar",1,0.22883295194508
"unus",1,0.22883295194508
"intent",1,0.22883295194508
"alon",1,0.22883295194508
"bright",1,0.22883295194508
"misfortun",1,0.22883295194508
"soft",1,0.22883295194508
"wisdom",1,0.22883295194508
"decompos",1,0.22883295194508
"prayer",1,0.22883295194508
"trash",1,0.22883295194508
"offens",1,0.22883295194508
"anxious",1,0.22883295194508
"content",1,0.22883295194508
"imperfect",1,0.22883295194508
"selfish",1,0.22883295194508
"selfless",1,0.22883295194508
"solid",1,0.22883295194508
"accus",1,0.22883295194508
"clariti",2,0.45766590389016
"esteem",1,0.22883295194508
"humbl",1,0.22883295194508
"pervers",2,0.45766590389016
"verbal",1,0.22883295194508
"wholesom",1,0.22883295194508
"innocentguilt",1,0.22883295194508
"virginsex",1,0.22883295194508
"decent",1,0.22883295194508
"weaken",1,0.22883295194508
"anim",1,0.22883295194508
"mani",1,0.22883295194508
"weak",1,0.22883295194508
"infami",1,0.22883295194508
"fallaci",1,0.22883295194508
"born",1,0.22883295194508
"meaningless",1,0.22883295194508
"worthless",1,0.22883295194508
"integr",1,0.22883295194508
"easili",1,0.22883295194508
"given",1,0.22883295194508
"pull",1,0.22883295194508
"unpleas",1,0.22883295194508
"bottl",1,0.22883295194508
"asham",1,0.22883295194508
"scare",1,0.22883295194508
"divin",1,0.22883295194508
"faithless",1,0.22883295194508
"tree",1,0.22883295194508
"healthi",1,0.22883295194508
"oldfashion",1,0.22883295194508
"ritual",1,0.22883295194508
"past",1,0.22883295194508
"stubborn",1,0.22883295194508
"school",1,0.22883295194508
"societi",1,0.22883295194508
"gender",1,0.22883295194508
"race",1,0.22883295194508
"expir",1,0.22883295194508
"eros",1,0.22883295194508
"experi",1,0.22883295194508
"miss",1,0.22883295194508
"pressur",1,0.22883295194508
"consent",2,0.45766590389016
"hatr",1,0.22883295194508
"hide",1,0.22883295194508
"secret",1,0.22883295194508
"contamin",1,0.22883295194508
"bitch",1,0.22883295194508
"sanctifi",1,0.22883295194508
"knight",1,0.22883295194508
"metal",1,0.22883295194508
"deceiv",1,0.22883295194508
"help",1,0.22883295194508
"reborn",1,0.22883295194508
"segreg",1,0.22883295194508
"media",1,0.22883295194508
"authent",1,0.22883295194508
"poor",1,0.22883295194508
"cloth",1,0.22883295194508
"crop",1,0.22883295194508
"skanki",1,0.22883295194508
"top",1,0.22883295194508
"demot",1,0.22883295194508
"negat",1,0.22883295194508
"immodest",1,0.22883295194508
"power",1,0.22883295194508
"trip",1,0.22883295194508
"assault",1,0.22883295194508
"insuffici",1,0.22883295194508
"organ",1,0.22883295194508
"rust",1,0.22883295194508
